,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
141,27.84,34.572,2017-04-11 00:00:00,6901770,7.755,42.568,2017-03-03 00:00:00,6902733,7.726,42.475,2017-02-24 00:00:00,6902733
142,17.132,36.999,2017-04-13 00:00:00,6901771,17.476,38.708,2017-03-03 00:00:00,6901863,16.776,41.556,2017-02-24 00:00:00,6903178
143,29.05,34.68,2017-04-13 00:00:00,6901764,20.126,39.073,2017-03-04 00:00:00,6901862,9.938,39.205,2017-02-25 00:00:00,6903180
144,7.597,42.296,2017-04-14 00:00:00,6902733,21.201,36.461,2017-03-04 00:00:00,6901768,21.161,36.381,2017-02-25 00:00:00,6901768
145,20.628,36.236,2017-04-15 00:00:00,6901768,31.024,32.987,2017-03-04 00:00:00,6901773,30.951,33.02,2017-02-25 00:00:00,6901773
146,30.772,33.267,2017-04-15 00:00:00,6901773,29.855,33.742,2017-03-05 00:00:00,6901766,33.86,32.29,2017-02-25 00:00:00,6903222
147,29.292,32.953,2017-04-16 00:00:00,6901766,3.671,38.819,2017-03-06 00:00:00,6902732,25.412,34.273,2017-02-26 00:00:00,6903204
148,10.268,40.495,2017-04-17 00:00:00,6901767,10.487,40.819,2017-03-06 00:00:00,6901767,5.086,41.146,2017-02-27 00:00:00,6902688
149,22.599,35.695,2017-04-17 00:00:00,6901765,23.474,34.718,2017-03-06 00:00:00,6901765,10.512,40.813,2017-02-27 00:00:00,6901767
150,9.971,38.768,2017-04-18 00:00:00,6901769,10.26,39.0,2017-03-07 00:00:00,6901769,23.631,34.612,2017-02-27 00:00:00,6901765
151,27.723,34.296,2017-04-18 00:00:00,6901770,26.557,33.308,2017-03-07 00:00:00,6901770,33.845,32.296,2017-02-27 00:00:00,6903222
152,17.151,37.153,2017-04-20 00:00:00,6901771,3.682,41.802,2017-03-08 00:00:00,6901864,10.304,39.173,2017-02-28 00:00:00,6901769
153,28.912,34.681,2017-04-20 00:00:00,6901764,17.3,38.762,2017-03-08 00:00:00,6901863,17.13,35.333,2017-02-28 00:00:00,6903153
154,7.948,42.453,2017-04-21 00:00:00,6902733,17.533,36.677,2017-03-09 00:00:00,6901771,26.74,33.138,2017-02-28 00:00:00,6901770
155,20.352,36.391,2017-04-22 00:00:00,6901768,19.882,39.105,2017-03-09 00:00:00,6901862,6.431,42.595,2017-03-01 00:00:00,6902687
156,31.189,33.166,2017-04-22 00:00:00,6901773,29.639,34.572,2017-03-09 00:00:00,6901764,16.78,41.555,2017-03-01 00:00:00,6903178
157,29.256,32.793,2017-04-23 00:00:00,6901766,7.884,42.683,2017-03-10 00:00:00,6902733,33.857,32.317,2017-03-01 00:00:00,6903222
158,10.216,40.478,2017-04-24 00:00:00,6901767,21.184,36.61,2017-03-11 00:00:00,6901768,9.848,39.106,2017-03-02 00:00:00,6903180
159,22.396,35.697,2017-04-24 00:00:00,6901765,31.001,32.998,2017-03-11 00:00:00,6901773,17.67,36.716,2017-03-02 00:00:00,6901771
160,9.831,38.682,2017-04-25 00:00:00,6901769,30.555,33.798,2017-03-12 00:00:00,6901766,29.974,34.527,2017-03-02 00:00:00,6901764
161,27.291,34.359,2017-04-25 00:00:00,6901770,3.67,38.738,2017-03-13 00:00:00,6902732,7.755,42.568,2017-03-03 00:00:00,6902733
162,17.179,37.281,2017-04-27 00:00:00,6901771,3.751,41.751,2017-03-13 00:00:00,6901864,25.501,34.274,2017-03-03 00:00:00,6903204
163,28.826,34.639,2017-04-27 00:00:00,6901764,10.441,40.824,2017-03-13 00:00:00,6901767,33.95,32.311,2017-03-03 00:00:00,6903222
164,8.061,42.58,2017-04-28 00:00:00,6902733,17.372,38.699,2017-03-13 00:00:00,6901863,5.125,41.243,2017-03-04 00:00:00,6902688
165,20.324,36.572,2017-04-29 00:00:00,6901768,23.413,34.955,2017-03-13 00:00:00,6901765,21.201,36.461,2017-03-04 00:00:00,6901768
166,31.011,33.118,2017-04-29 00:00:00,6901773,10.193,38.966,2017-03-14 00:00:00,6901769,22.119,35.828,2017-03-04 00:00:00,6903203
167,29.346,32.953,2017-04-30 00:00:00,6901766,19.569,39.209,2017-03-14 00:00:00,6901862,31.024,32.987,2017-03-04 00:00:00,6901773
168,10.218,40.511,2017-05-01 00:00:00,6901767,26.546,33.492,2017-03-14 00:00:00,6901770,17.164,35.413,2017-03-05 00:00:00,6903153
169,22.203,35.613,2017-05-01 00:00:00,6901765,29.324,34.614,2017-03-16 00:00:00,6901764,10.487,40.819,2017-03-06 00:00:00,6901767
170,9.853,38.66,2017-05-02 00:00:00,6901769,8.077,42.634,2017-03-17 00:00:00,6902733,16.785,41.557,2017-03-06 00:00:00,6903178
171,26.929,34.281,2017-05-02 00:00:00,6901770,3.826,41.688,2017-03-18 00:00:00,6901864,23.474,34.718,2017-03-06 00:00:00,6901765
172,17.341,37.406,2017-05-04 00:00:00,6901771,17.147,38.65,2017-03-18 00:00:00,6901863,9.728,39.06,2017-03-07 00:00:00,6903180
173,28.849,34.513,2017-05-04 00:00:00,6901764,21.112,36.695,2017-03-18 00:00:00,6901768,26.557,33.308,2017-03-07 00:00:00,6901770
