,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
117,28.386,34.058,2019-03-03 00:00:00,6901764,25.928,33.28,2019-01-25 00:00:00,6902898,17.901,41.293,2019-02-11 00:00:00,6903250
118,15.534,36.816,2019-03-04 00:00:00,6903249,27.355,34.797,2019-01-25 00:00:00,6902900,21.364,36.505,2019-02-11 00:00:00,6901772
119,24.211,40.094,2019-03-04 00:00:00,6903283,28.8,35.187,2019-01-25 00:00:00,6902904,16.164,37.809,2019-02-12 00:00:00,6903249
120,26.888,35.125,2019-03-04 00:00:00,6902872,34.109,33.213,2019-01-26 00:00:00,6901773,24.007,39.494,2019-02-12 00:00:00,6903283
121,28.413,34.06,2019-03-04 00:00:00,6901764,6.331,39.324,2019-01-27 00:00:00,6901774,27.323,34.882,2019-02-12 00:00:00,6902900
122,23.348,34.839,2019-03-05 00:00:00,6901775,7.153,42.894,2019-01-27 00:00:00,6902901,7.228,39.802,2019-02-13 00:00:00,6901657
123,26.951,34.843,2019-03-05 00:00:00,6902900,17.654,42.022,2019-01-27 00:00:00,6903250,26.678,34.565,2019-02-13 00:00:00,6903247
124,28.43,34.062,2019-03-05 00:00:00,6901764,17.865,34.914,2019-01-27 00:00:00,6903237,4.005,40.489,2019-02-14 00:00:00,6902803
125,4.257,40.738,2019-03-06 00:00:00,6902803,28.581,34.075,2019-01-27 00:00:00,6901764,6.933,40.4,2019-02-14 00:00:00,6902804
126,26.808,35.13,2019-03-06 00:00:00,6902872,28.818,35.186,2019-01-27 00:00:00,6902904,7.745,42.471,2019-02-14 00:00:00,6902901
127,28.44,34.063,2019-03-06 00:00:00,6901764,28.819,35.046,2019-01-27 00:00:00,6902902,27.286,35.249,2019-02-14 00:00:00,6902872
128,28.44,34.052,2019-03-07 00:00:00,6901764,15.577,37.012,2019-01-28 00:00:00,6901862,12.648,39.263,2019-02-15 00:00:00,6902903
